,word,x,y
0,the,-0.14652326703071594,-0.05788513645529747
1,and,-0.2373230755329132,0.013570175506174564
2,to,0.14310988783836365,-0.7430610060691833
3,of,0.17542225122451782,0.2680901885032654
4,a,-0.10811290144920349,-0.00743706664070487
5,his,-0.11766628175973892,-0.05286632105708122
6,was,-0.1700771152973175,-0.3851515054702759
7,I,0.46062642335891724,-1.2811776399612427
8,he,-0.04282818362116814,-0.8317050933837891
9,s,0.512956440448761,-0.06378123909235
10,her,-0.27338191866874695,-0.41387346386909485
11,in,-0.26581212878227234,-0.12034766376018524
12,had,0.042746011167764664,-0.5168854594230652
13,you,0.4537160098552704,-1.3453359603881836
14,The,-0.010712452232837677,-0.21144604682922363
15,that,-0.01644628867506981,-0.8077772259712219
16,as,-0.281796395778656,-0.4070711135864258
17,with,-0.329537570476532,-0.08217494934797287
18,it,-0.32997938990592957,-0.8945441246032715
19,him,-0.15122461318969727,-0.8128708600997925
20,not,0.3498656153678894,-1.2007302045822144
21,she,-0.17136408388614655,-0.9145802855491638
22,for,0.2247595340013504,-0.8118377923965454
23,He,-0.16441965103149414,-0.7684409618377686
24,but,-0.06568831205368042,-0.7825348973274231
25,said,0.4548642933368683,-1.0237189531326294
26,is,0.5906662940979004,-0.8730083703994751
27,on,-0.49127113819122314,-0.13726280629634857
28,at,0.08897604793310165,-0.1220172792673111
29,have,0.4129256010055542,-1.0484890937805176
30,be,0.4523467719554901,-1.0391472578048706
31,them,-0.22555407881736755,-0.5881922245025635
32,from,-0.44035962224006653,-0.07439478486776352
33,were,-0.31418970227241516,-0.1754610389471054
34,my,0.48858338594436646,-1.0933717489242554
35,me,0.4668251574039459,-1.2414153814315796
36,they,-0.20404627919197083,-0.6256645917892456
37,would,0.22096839547157288,-1.0571519136428833
38,will,0.5103503465652466,-1.152532696723938
39,all,-0.006967134308069944,-0.6871647238731384
40,no,0.2520371675491333,-0.9527667760848999
41,one,-0.035131197422742844,-0.5611584782600403
42,Lord,1.4000351428985596,-0.09349843114614487
43,their,-0.024837814271450043,0.05339426547288895
44,so,-0.19827894866466522,-0.8896963000297546
45,She,-0.23797069489955902,-0.8105775713920593
46,your,0.37313589453697205,-1.1136366128921509
47,could,-0.27511388063430786,-0.8249198794364929
48,Ser,0.7012515664100647,-0.5821915864944458
49,man,0.06178165599703789,-0.5992045998573303
50,are,0.4274595379829407,-0.7482132315635681
51,You,0.4730278551578522,-1.2581007480621338
52,It,0.01819034293293953,-0.8786715865135193
53,up,-0.6375998854637146,-0.27967262268066406
54,been,0.17713715136051178,-0.45490679144859314
55,when,-0.04977518320083618,-0.7530294060707092
56,A,-0.043514639139175415,-0.21094834804534912
57,did,0.2718956470489502,-1.1112511157989502
58,back,-0.5446406006813049,-0.5785770416259766
59,by,0.1610778570175171,0.1660889983177185
60,out,-0.6257489323616028,-0.46461382508277893
61,if,0.10693260282278061,-1.1435282230377197
62,more,0.005592764355242252,-0.8151822686195374
63,men,0.0884971022605896,-0.40171870589256287
64,down,-0.8856561779975891,-0.2580096125602722
65,than,-0.02843943051993847,-0.7895178198814392
66,this,0.28643831610679626,-1.090833306312561
67,t,0.07188710570335388,-1.2719223499298096
68,do,0.3900368809700012,-1.4431864023208618
69,or,0.21715302765369415,-0.6560101509094238
70,Jon,0.0014868308790028095,-0.7535052299499512
71,like,-0.5599649548530579,-0.38544002175331116
72,who,0.644406795501709,-0.576730489730835
73,we,0.4368087649345398,-1.1573368310928345
74,well,0.16525645554065704,-0.7355203628540039
75,there,-0.19624488055706024,-0.6473942399024963
76,And,0.39704379439353943,-0.8531405925750732
77,They,-0.20451180636882782,-0.48150575160980225
78,only,0.09555864334106445,-0.6684942245483398
79,Tyrion,-0.10532029718160629,-0.7351806163787842
80,know,0.5584686398506165,-1.3125622272491455
81,off,-0.7558943033218384,-0.3312537968158722
82,what,0.33982107043266296,-1.3042089939117432
83,made,-0.316540390253067,-0.45217031240463257
84,into,-0.9546307325363159,-0.19062410295009613
85,never,0.219416081905365,-1.15260910987854
86,too,-0.07121279835700989,-0.8635807037353516
87,before,-0.14324870705604553,-0.6701890230178833
88,see,-0.12234913557767868,-0.8647187352180481
89,lord,0.5966019630432129,-0.8938619494438171
90,eyes,-0.7103427648544312,-0.4290335774421692
91,told,0.34566551446914673,-1.023069977760315
92,His,-0.08235422521829605,-0.2913622558116913
93,an,0.08264899998903275,-0.04607435315847397
94,thought,0.1034655049443245,-1.06703782081604
95,father,0.7092291116714478,-0.8281257748603821
96,If,0.5776467323303223,-1.186130404472351
97,d,-0.18240508437156677,-0.8140385150909424
98,time,-0.19439679384231567,-0.8175480365753174
99,hand,-0.5217201113700867,-0.4450512230396271
100,us,0.49247291684150696,-1.107925534248352
101,some,-0.09193149954080582,-0.5397946238517761
102,king,0.5315681099891663,-0.7964250445365906
103,has,0.7107650637626648,-0.889053463935852
104,now,0.12613289058208466,-0.7640768885612488
105,long,-0.5040188431739807,-0.4370329678058624
106,old,0.0849975124001503,-0.174261674284935
107,face,-0.6945680975914001,-0.47066763043403625
108,through,-1.0891588926315308,-0.033384062349796295
109,might,0.2733938694000244,-1.0059349536895752
110,When,-0.09336032718420029,-0.5600391626358032
111,can,0.24258014559745789,-1.200229287147522
112,No,0.3075074851512909,-1.1529064178466797
113,head,-0.6553940176963806,-0.470691978931427
114,ll,0.07855783402919769,-1.172043800354004
115,We,0.3294319212436676,-0.9378955960273743
116,way,-0.32487067580223083,-0.6722428202629089
117,still,-0.24277490377426147,-0.4781419038772583
118,black,-0.8922480344772339,0.3532020151615143
119,here,0.005703063681721687,-0.9550421833992004
120,come,0.19532214105129242,-0.9682817459106445
121,boy,0.5004256367683411,-0.38203009963035583
122,even,-0.0431475006043911,-0.6417961716651917
123,That,0.4806497097015381,-0.9097258448600769
124,must,0.5115243792533875,-1.1684539318084717
125,over,-0.827433168888092,-0.19083477556705475
126,took,-0.14556844532489777,-0.5324928164482117
127,about,-0.23438143730163574,-0.71262127161026
128,where,-0.4625682234764099,-0.2410438358783722
129,King,1.070518136024475,-0.23175540566444397
